KM,Tarifa ($)
1144,84019.35
1145,84055.61
1146,84093.68
1147,84129.93
1148,84168.01
1149,84202.44
1150,84240.51
1151,84276.76
1152,84314.84
1153,84349.27
1154,84387.34
1155,84423.6
1156,84459.85
1157,84496.1
1158,84534.18
1159,84568.64
1160,84604.89
1161,84642.97
1162,84677.4
1163,84713.65
1164,84751.73
1165,84787.98
1166,84822.45
1167,84860.48
1168,84896.77
1169,84931.2
1170,84967.45
1171,85005.53
1172,85039.96
1173,85076.21
1174,85110.67
1175,85146.93
1176,85183.18
1177,85219.43
1178,85255.68
1179,85291.93
1180,85326.4
1181,85362.65
1182,85397.08
1183,85433.37
1184,85469.62
1185,85504.05
1186,85540.3
1187,85574.77
1188,85611.02
1189,85647.27
1190,85681.7
1191,85717.95
1192,85752.42
1193,85788.67
1194,85821.31
1195,85857.56
1196,85893.82
1197,85928.24
1198,85964.49
1199,85998.96
1200,86033.39
1201,86067.86
1202,86104.11
1203,86140.36
1204,86173.0
1205,86209.25
1206,86243.68
1207,86276.32
1208,86312.57
1209,86348.83
1210,86381.47
1211,86417.72
1212,86452.15
1213,86486.61
1214,86521.04
1215,86555.51
1216,86589.94
1217,86624.4
1218,86658.83
1219,86695.08
1220,86727.72
1221,86763.98
1222,86796.62
1223,86831.05
1224,86865.47
1225,86898.12
1226,86934.37
1227,86967.01
1228,87003.26
1229,87035.9
1230,87070.33
1231,87104.8
1232,87139.23
1233,87171.87
1234,87208.12
1235,87240.76
1236,87275.19
1237,87307.83
1238,87342.26
1239,87376.73
1240,87409.33
1241,87443.8
1242,87476.4
1243,87512.69
1244,87545.29
1245,87577.94
1246,87612.36
1247,87645.0
1248,87677.65
1249,87712.07
1250,87744.72
1251,87780.97
1252,87813.61
1253,87848.04
1254,87880.68
1255,87913.32
1256,87947.75
1257,87980.39
1258,88013.0
1259,88047.46
1260,88078.28
1261,88110.92
1262,88145.35
1263,88177.99
1264,88210.6
1265,88245.06
1266,88277.71
1267,88312.13
1268,88342.95
1269,88375.59
1270,88408.2
1271,88442.66
1272,88475.31
1273,88506.12
1274,88540.55
1275,88573.19
1276,88607.62
1277,88638.44
1278,88671.08
1279,88703.72
1280,88736.33
1281,88768.97
1282,88801.61
1283,88832.43
1284,88866.86
1285,88899.5
1286,88930.32
1287,88964.74
1288,88995.56
1289,89028.2
1290,89059.02
1291,89093.45
1292,89124.27
1293,89156.91
1294,89187.73
1295,89222.15
1296,89252.97
1297,89285.61
1298,89318.26
1299,89350.9
1300,89381.72
1301,89412.54
1302,89446.96
1303,89477.78
1304,89508.6
1305,89541.24
1306,89572.06
1307,89604.66
1308,89637.3
1309,89668.12
1310,89698.94
1311,89729.76
1312,89764.23
1313,89795.04
1314,89825.86
1315,89856.68
1316,89891.11
1317,89921.92
1318,89952.74
1319,89983.56
1320,90014.38
1321,90045.2
1322,90076.01
1323,90110.44
1324,90141.26
1325,90172.12
1326,90202.94
1327,90233.75
1328,90266.36
1329,90297.17
1330,90327.99
1331,90358.81
1332,90389.63
1333,90420.45
1334,90451.26
1335,90483.91
1336,90514.72
1337,90545.54
1338,90576.36
1339,90605.35
1340,90636.17
1341,90666.99
1342,90697.81
1343,90730.45
1344,90761.27
1345,90790.26
1346,90821.08
1347,90851.9
1348,90882.71
1349,90913.53
1350,90942.57
1351,90973.38
1352,91005.99
1353,91036.8
1354,91065.84
1355,91096.66
1356,91127.47
1357,91156.47
1358,91187.29
1359,91218.1
1360,91247.1
1361,91277.91
1362,91306.95
1363,91337.77
1364,91368.58
1365,91397.58
1366,91428.4
1367,91457.39
1368,91490.03
1369,91517.2
1370,91549.84
1371,91578.84
1372,91609.65
1373,91638.69
1374,91669.51
1375,91698.5
1376,91729.32
1377,91758.31
1378,91787.34
1379,91818.16
1380,91847.15
1381,91877.97
1382,91906.97
1383,91936.0
1384,91966.82
1385,91995.81
1386,92024.8
1387,92055.62
1388,92084.66
1389,92113.65
1390,92142.64
1391,92173.46
1392,92202.45
1393,92231.49
1394,92260.48
1395,92289.47
1396,92320.29
1397,92349.32
1398,92378.32
1399,92405.53
1400,92434.52
1401,92463.51
1402,92494.33
1403,92523.32
1404,92552.36
1405,92581.35
1406,92610.34
1407,92639.38
1408,92668.37
1409,92697.37
1410,92726.36
1411,92755.39
1412,92784.39
1413,92813.38
1414,92842.41
1415,92871.41
1416,92898.61
1417,92927.61
1418,92956.6
1419,92985.59
1420,93014.63
1421,93041.8
1422,93070.83
1423,93099.82
1424,93128.82
1425,93157.85
1426,93185.02
1427,93212.23
1428,93241.22
1429,93270.21
1430,93299.25
1431,93328.24
1432,93355.45
1433,93382.62
1434,93411.61
1435,93440.65
1436,93467.81
1437,93496.85
1438,93525.84
1439,93553.05
1440,93582.04
1441,93609.21
1442,93636.42
1443,93665.41
1444,93694.45
1445,93721.62
1446,93750.61
1447,93775.99
1448,93805.03
1449,93832.2
1450,93861.23
1451,93890.22
1452,93915.61
1453,93944.6
1454,93971.81
1455,94000.8
1456,94028.01
1457,94057.0
1458,94082.39
1459,94109.56
1460,94138.59
1461,94066.05
1462,94091.43
1463,94120.47
1464,94147.63
1465,94174.84
1466,94203.84
1467,94229.22
1468,94256.39
1469,94285.42
1470,94312.59
1471,94337.98
1472,94367.01
1473,94394.18
1474,94421.39
1475,94446.77
1476,94475.76
1477,94502.97
1478,94530.14
1479,94555.53
1480,94584.52
1481,94611.73
1482,94638.94
1483,94664.28
1484,94691.49
1485,94718.7
1486,94747.69
1487,94773.08
1488,94800.24
1489,94827.45
1490,94852.84
1491,94880.01
1492,94907.22
1493,94934.42
1494,94959.77
1495,94986.98
1496,95014.19
1497,95039.57
1498,95066.74
1499,95093.95
1500,95119.33
